formula,Property Lattice parameter (a),Property Lattice parameter (a) units,Property Cell angle ($\gamma$),Property Cell angle ($\gamma$) units,Property Melting point,Property Melting point units,Property Crystal system,Property Lattice parameter (c),Property Lattice parameter (c) units,Property Cell angle ($\alpha$),Property Cell angle ($\alpha$) units,Property Lattice parameter (b),Property Lattice parameter (b) units,Property Cell angle ($\beta$),Property Cell angle ($\beta$) units,Property Space group number
B$_{2}$K$_{3}$O$_{12}$Ta$_{3}$,8.775(5),$\AA$,120,°,,,trigonal,3.897(1),$\AA$,90,°,8.775(5),$\AA$,90,°,157
B$_{2}$K$_{3}$Nb$_{3}$O$_{12}$,8.753(5),$\AA$,120,°,,,trigonal,3.966(1),$\AA$,90,°,8.753(5),$\AA$,90,°,157
B$_{2}$K$_{3}$Nb$_{3}$O$_{12}$,34.01,$\AA$,120,°,,,trigonal,3.966(1),$\AA$,90,°,34.01,$\AA$,90,°,157
Nb$_{2}$O$_{6}$Pb,35.292(5),$\AA$,90,°,,,orthorhombic,7.746(1),$\AA$,90,°,17.943(5),$\AA$,90,°,36
Nb$_{3.09}$O$_{8.22}$Tl,7.551(4),$\AA$,90,°,,,orthorhombic,7.734(4),$\AA$,90,°,13.005(6),$\AA$,90,°,20
Br$_{2}$CaH$_{12}$O$_{6}$,8.164(5),$\AA$,120,°,,,trigonal,4.016(5),$\AA$,90,°,8.164(5),$\AA$,90,°,150
H$_{4}$CaN$_{2}$O$_{8}$,,,,,,,,,,,,,,,,
Nb$_{6}$O$_{18}$Rb$_{2}$Ti,7.529(4),$\AA$,120,°,,,trigonal,8.194(8),$\AA$,90,°,7.529(4),$\AA$,90,°,164
O$_{18}$Rb$_{2}$Ta$_{6}$Ti,7.512(4),$\AA$,120,°,,,trigonal,8.231(8),$\AA$,90,°,7.512(4),$\AA$,90,°,164
Cs$_{2}$Nb$_{6}$O$_{18}$Ti,7.533(4),$\AA$,120,°,,,trigonal,8.189(8),$\AA$,90,°,7.533(4),$\AA$,90,°,164
Cs$_{2}$O$_{18}$Ta$_{6}$Ti,7.513(4),$\AA$,120,°,,,trigonal,8.227(8),$\AA$,90,°,7.513(4),$\AA$,90,°,164
Nb$_{30}$O$_{90}$Rb$_{12}$W$_{3}$,7.486(2),$\AA$,120,°,,,trigonal,43.10(1),$\AA$,90,°,7.486(2),$\AA$,90,°,166
CaCl$_{2}$H$_{8}$O$_{4}$,8.923(5),$\AA$,90,°,,,monoclinic,12.787(6),$\AA$,90,°,10.221(4),$\AA$,114.68(4),$^\circ$,14
CaClH$_{4}$NO$_{5}$,9.052(4),$\AA$,90,°,,,orthorhombic,19.797(6),$\AA$,90,°,6.676(5),$\AA$,90,°,61
O$_{3}$Rb$_{0.28}$W,7.3875(11),$\AA$,120,°,,,hexagonal,7.5589(12),$\AA$,90,°,7.3875(11),$\AA$,90,°,193
O$_{3}$Tl$_{0.3}$W,7.3810(18),$\AA$,120,°,,,hexagonal,7.5091(11),$\AA$,90,°,7.3810(18),$\AA$,90,°,193
La$_{2}$O$_{7}$Ti$_{2}$,7.800(3),$\AA$,98.60(2),$^\circ$,,,monoclinic,5.546(2),$\AA$,90,°,13.011(4),$\AA$,90,°,4
CaH$_{4}$N$_{2}$O$_{8}$,7.79(1),$\AA$,90,°,,,monoclinic,12.22(1),$\AA$,90,°,6.88(1),$\AA$,90.0(3),$^\circ$,15
B$_{2}$NbO$_{6}$Tl,7.82(2),$\AA$,90,°,,,orthorhombic,7.40(2),$\AA$,90,°,9.46(2),$\AA$,90,°,33
